EMOJI,SIZE (in cm),INFO
🐒,56,Macaque
🦍,172,Silverback
🦧,150,Bornean
🐕,65,German Shepherd
🐩,45,
🐈,25,Cat
🐅,110,
🐆,105,
🐎,165,
🦌,121,
🦬,195,Bison
🐄,160,Cow
🐖,77,Pig
🐏,?,Ram
🐐,76,Goat
🐫,180,Camel
🦙,170,Llama
🦒,550,Giraffe
🐘,320,Elephant
🦣,335,Mammoth
🦏,190,White Rhinoceros
🦛,140,Hippopotamus
🐁,7,Mouse
🐇,?,Rabbit
🐿️,?,Chipmunk
🦇,?,Bat
🦘,?,Kangaroo
🦃,?,Turkey
🐓,?,Rooster
🐥,🥚*1.3,Chick
🦅,?,Eagle
🦆,40,Duck
🦢,?,Swan
🦉,55,Great Horned Owl
🦤,91,Dodo
🦚,130,Peacock
🦜,?,Parrot
🐢,?,Turtle
🐍,?,Snake
🦕,1600,Sauropod
🦖,610,T-Rex
🐋,?,Whale
🐬,?,Dolphin
🐟,?,Fish
🐠,15,Angel Fish
🐡,30,Blowfish
🦈,?,Shark
🐙,?,Octopus
🐌,3.3,Snail
🦋,?,Butterfly
🐛,?,Bug
🐜,0.37,Ant
🐝,1.5,Honeybee
🪲,?,Beetle
🐞,1,Lady Bug
🕷️,?,Spider
🦂,?,Scorpion
🦟,0.3,Mosquito
🦠,?,Microbe
🌻,180,Sunflower
🌲,?,Evergreen Tree
🌳,?,Deciduous Tree
🌴,?,Palm Tree
🌵,1200,Cactus
🦑,?,Squid
🎄,?,Christmas Tree
🌞,139268000000,Sun
🪰,0.6,Housefly
🦦,100,Otter
🧬,6e-8,DNA
🦷,2,Tooth
🫁,24,Lungs
🫀,12,Heart
🧠,15,Brain
