EMOJI,SIZE (in cm),INFO
🐒,56,Macaque
🦍,172,Silverback
🦧,150,Bornean
🐕,65,German Shepherd
🐩,45,
🐈,25,Cat
🐅,110,
🐆,105,
🐎,165,
🦌,121,
🦬,195,Bison
🐄,160,Cow
🐖,77,Pig
🐏,?,Ram
🐐,45,Goat
🐫,180,Camel
🦙,170,Llama
🦒,550,Giraffe
🐘,320,Elephant
🦣,335,Mammoth
🦏,190,White Rhinoceros
🦛,140,Hippopotamus
🐁,7,Mouse
🐇,?,Rabbit
🐿️,?,Chipmunk
🦇,?,Bat
🦘,?,Kangaroo
🦃,?,Turkey
🐓,?,Rooster
🐥,🥚*1.5,Chick
🦅,?,Eagle
🦆,50,Duck
🦢,?,Swan
🦉,55,Great Horned Owl
🦤,?,Dodo
🦚,130,Peacock
🦜,?,Parrot
🐢,?,Turtle
🐍,?,Snake
🦕,1600,Sauropod
🦖,610,T-Rex
🐋,?,Whale
🐬,?,Dolphin
🐟,?,Fish
🐠,?,Tropical Fish
🐡,?,Blowfish
🦈,?,Shark
🐙,?,Octopus
🐌,3.3,Snail
🦋,?,Butterfly
🐛,?,Bug
🐜,?,Ant
🐝,1.5,Honeybee
🪲,?,Beetle
🐞,?,Lady Beetle
🕷️,?,Spider
🦂,?,Scorpion
🦟,?,Mosquito
🦠,?,Microbe
🌻,?,Sunflower
🌲,?,Evergreen Tree
🌳,?,Deciduous Tree
🌴,?,Palm Tree
🌵,?,Cactus
🦑,?,Squid
🎄,?,Christmas Tree
🌞,1392680km
