EMOJI,SIZE (in cm),INFO
🚣,?,Person Rowing Boat
🗾,1527.75km,Map of Japan (1:1)
🏔️,2720m,Nevado de Colima
⛰️,8848m,Everest
🌋,3020m,Popocatepetl
🗻,3776m,Mount Fuji
🏕️,?,Camping
🏖️,?,Beach with Umbrella
🏜️,?,Desert
🏝️,?,Desert Island
🏞️,?,National Park
🏟,63m,Astrodome
🏛,17m,Maison Carree
🏗️,?,Building Construction
🛖,?,Hut
🏘️,?,Houses
🏚️,?,Derelict House
🏠,?,House
🏡,?,House with Garden
🏢,?,Office Building
🏣,?,Japanese Post Office
🏤,?,Post Office
🏥,?,Hospital
🏦,?,Bank
🏨,?,Hotel
🏩,?,Love Hotel
🏪,?,Convenience Store
🏫,?,School
🏬,?,Department Store
🏭,?,Factory
🏯,58m,Osaka Castle
🏰,65m,Neuschwanstein Castle
💒,?,Wedding
🗼,333m,Tokyo Tower
🗽,46m,Statue of Liberty
⛪,?,Church
🕌,85m,Sheikh Zayed Mosque
🛕,?,Hindu Temple
🕍,12.6m,Subotica Synagogue
⛩️,2.5m,Shinto Shrine
🕋,13.1m,Kaaba
⛲,?,Fountain
⛺,?,Tent
🌁,?,Foggy
🌃,?,Night with Stars
🏙️,?,Cityscape
🌄,?,Sunrise Over Mountains
🌅,?,Sunrise
🌆,?,Cityscape at Dusk
🌇,?,Sunset
🌉,?,Bridge at Night
🎠,?,Carousel Horse
🎡,167.7m,High Roller
🎢,?,Roller Coaster
🚂,4.94m,Locomotive
🚃,?,Railway Car
🚄,?,High-Speed Train
🚅,?,Bullet Train
🚆,?,Train
🚇,?,Metro
🚈,?,Light Rail
🚉,?,Station
🚊,?,Tram
🚝,3.67m,Monorail
🚞,?,Mountain Railway
🚋,14m,Tram Car (Length)
🚌,12m,Bus (Length)
🚍,?,Oncoming Bus
🚎,11m,Trolleybus
🚐,?,Minibus
🚑,?,Ambulance
🚒,?,Fire Engine
🚓,?,Police Car
🚔,?,Oncoming Police Car
🚕,?,Taxi
🚖,?,Oncoming Taxi
🚗,?,Automobile
🚘,?,Oncoming Automobile
🚙,?,Sport Utility Vehicle
🛻,?,Pickup Truck
🚚,?,Delivery Truck
🚛,?,Articulated Lorry
🚜,5m,Tractor (Length)
🏎️,?,Racing Car
🏍️,?,Motorcycle
🛵,?,Motor Scooter
🛺,?,Auto Rickshaw
🚲,?,Bicycle
🛴,?,Kick Scooter
🚏,?,Bus Stop
🛣️,?,Motorway
🛤️,143,Railway Track (Length)
⛽,?,Fuel Pump
🚨,?,Police Car Light
🚥,?,Horizontal Traffic Light
🚦,?,Vertical Traffic Light
🚧,?,Construction
⚓,?,Anchor
⛵,?,Sailboat
🚤,?,Speedboat
🛳️,?,Passenger Ship
⛴️,?,Ferry
🛥️,?,Motor Boat
🚢,?,Ship
✈️,30m,Airplane (Length)
🛩️,9m,Small Airplane (Length)
🛫,?,Airplane Departure
🛬,?,Airplane Arrival
🪂,?,Parachute
💺,?,Seat
🚁,?,Helicopter
🚟,?,Suspension Railway
🚠,?,Mountain Cableway
🚡,?,Aerial Tramway
🛰️,73m,ISS
🚀,?,Rocket
🛸,?,Flying Saucer
🪐,116464km,Saturn
🌠,?,Shooting Star
🌌,?,Milky Way
⛱️,?,Umbrella on Ground
🎆,?,Fireworks
🎇,?,Sparkler
🎑,?,Moon Viewing Ceremony
💴,?,Yen Banknote
💵,?,Dollar Banknote
💶,?,Euro Banknote
💷,?,Pound Banknote
🗿,4m,Moai
